Title,Country
The Bounty Hunter,United States
Cop Out,United States
Cyrus,United States
Date Night,United States
Death at a Funeral,United States
Despicable Me,United States
Diary of a Wimpy Kid,United States
Dinner for Schmucks,United States
Due Date,United States
Easy A,United States
The Extra Man,United States
Flipped,United States
Get Him to the Greek,United States
Going the Distance,United States
Greenberg,United States
Grown Ups,United States
Gulliver's Travels,United States
Happythankyoumoreplease,United States
Hatchet II,United States
Hesher,United States
Hot Tub Time Machine,United States
How Do You Know,United States
It's Kind of a Funny Story,United States
Jack Goes Boating,United States
Jackass 3D,United States
Just Wright,United States
Kaboom,United States
Killers,United States
Knight and Day,United States
Life as We Know It,United States
Little Fockers,United States
Lottery Ticket,United States
Love & Other Drugs,United States
MacGruber,United States
Megamind,United States
Middle Men,United States
Morning Glory,United States
The Other Guys,United States
Our Family Wedding,United States
Piranha 3D,United States
Please Give,United States
Red,United States
Scott Pilgrim vs. the World,United States
Sex and the City 2,United States
She's Out of My League,United States
Shrek Forever After,United States
The Sorcerer's Apprentice,United States
The Spy Next Door,United States
The Switch,United States
Tiny Furniture,United States
Toy Story 3,United States
Valentine's Day,United States
Vampires Suck,United States
Yogi Bear,United States
You Again,United States
30 Minutes or Less,United States
50/50,United States
Arthur,United States
Bad Teacher,United States
Bernie,United States
Beginners,United States
"Big Mommas: Like Father, Like Son",United States
The Big Year,United States
Bloody Bloody Bible Camp,United States
Bridesmaids,United States
Bucky Larson: Born to Be a Star,United States
Cars 2,United States
Cedar Rapids,United States
The Change-Up,United States
"Crazy, Stupid, Love.",United States
The Descendants,United States
The Dilemma,United States
Dylan Dog: Dead of Night,United States
Flypaper,United States
Friends with Benefits,United States
Fright Night,United States
God Bless America (film),United States
A Good Old Fashioned Orgy,United States
The Green Hornet,United States
Hall Pass,United States
The Hangover Part II,United States
Hoodwinked Too! Hood vs. Evil,United States
Horrible Bosses,United States
Jack and Jill,United States
Just Go With It,United States
Kung Fu Panda 2,United States
Larry Crowne,United States
"Love, Wedding, Marriage",United States
Madea's Big Happy Family,United States
Mars Needs Moms,United States
Monte Carlo,United States
Mr. Popper's Penguins,United States
The Muppets,United States
New Year's Eve,United States
No Strings Attached,United States
Our Idiot Brother,United States
Prom,United States
Scream 4,United States
The Smurfs,United States
Something Borrowed,United States
Spy Kids: All the Time in the World,United States
Take Me Home Tonight,United States
Terri,United States
Tower Heist,United States
A Very Harold & Kumar Christmas,United States
Win Win,United States
Young Adult,United States
Your Highness,United States
Zookeeper,United States
8 Reels of Sewage,United States
21 Jump Street,United States
American Reunion,United States
The Campaign,United States
Casa de Mi Padre,United States
Dark Shadows,United States
The Dictator,United States
The Five-Year Engagement,United States
Frankenweenie,United States
Hollywood a GoGo,United States
It's Such a Beautiful Day,United States
"Jeff, Who Lives at Home",United States
Joyful Noise,United States
Madagascar 3: Europe's Most Wanted,United States
Magic Mike,United States
Men in Black 3,United States
Mirror Mirror,United States
Moonrise Kingdom,United States
One for the Money,United States
Paranorman,United States
Project X,United States
Ruby Sparks,United States
Seeking a Friend for the End of the World,United States
Silver Linings Playbook,United States
Spring Breakers,United States
Syndicate,United States
Ted,United States
This Means War,United States
The Three Stooges,United States
Tim and Eric's Billion Dollar Movie,United States
Wanderlust,United States
Wreck-It Ralph,United States
21 and Over,United States
30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo,United States
A Haunted House,United States
Anchorman 2: The Legend Continues,United States
Clear History,United States
Computer Chess,United States
The Croods,United States
Despicable Me 2,United States
Don Jon,United States
Drinking Buddies,United States
Enough Said,United States
Escape from Planet Earth,United States
Grown Ups 2,United States
The Heat,United States
Identity Thief,United States
In a World...,United States
The Incredible Burt Wonderstone,United States
The Internship,United States
Jackass Presents: Bad Grandpa,United States
The Kings of Summer,United States
Monsters University,United States
Movie 43,United States
Pain & Gain,United States
Prince Avalanche,United States
Scary Movie 5,United States
This is the End,United States
The To Do List,United States
Turbo,United States
Warm Bodies,United States
"The Way, Way Back",United States
We're the Millers,United States
22 Jump Street,United States
About Last Night,United States
Army of Frankensteins,United States
Birdman,United States
Chef,United States
Date and Switch,United States
A Haunted House 2,United States
The Hungover Games,United States
The Lego Movie,United States
A Million Ways to Die in the West,United States
Mr. Peabody & Sherman,United States
Muppets Most Wanted,United States
Neighbors,United States
Obvious Child,United States
The Other Woman,United States
Ride Along,United States
Rio 2,United States
Tammy,United States
That Awkward Moment,United States
Walk of Shame,United States
American Ultra,United States
The Big Short,United States
The Duff,United States
Entourage,United States
The Final Girls',United States
Focus,United States
Get Hard,United States
Home,United States
Home Sweet Hell,United States
Hot Pursuit,United States
Hot Tub Time Machine 2,United States
Inside Out,United States
Mortdecai,United States
Paul Blart: Mall Cop 2,United States
Pitch Perfect 2,United States
Pixels,United States
Results,United States
Saving Christmas,United States
The Second Best Exotic Marigold Hotel,United States
The SpongeBob Movie: Sponge Out of Water,United States
Spy,United States
The Wedding Ringer,United States
Amateur Night,United States
The Angry Birds Movie,United States
Boo! A Madea Halloween,United States
Central Intelligence,United States
Deadpool,United States
Dirty Grandpa,United States
Don't Kill It,United States
Fifty Shades of Black,United States
Finding Dory,United States
"Hail, Caesar!",United States
Ghostbusters,United States
Keeping Up with the Joneses,United States
Kung Fu Panda 3,United States
Mike and Dave Need Wedding Dates,United States
Norm of the North,United States
Ride Along 2,United States
Sausage Party,United States
The Secret Life of Pets,United States
Trolls,United States
Zootopia,United States
Baywatch,United States
The Boss Baby,United States
Captain Underpants: The First Epic Movie,United States
Cars 3,United States
CHiPs,United States
Diary of a Wimpy Kid: The Long Haul,United States
Ferdinand,United States
How to Be a Latin Lover,United States
The Lego Batman Movie,United States
Little Evil,United States
Pitch Perfect 3,United States
Spark,United States
Blockers,United States
Book Club,United States
Deadpool 2,United States
Game Night,United States
Gringo,United States
How to Talk to Girls at Parties,United States
I Feel Pretty,United States
Isle of Dogs,United States
Life of the Party,United States
"Love, Simon",United States
Monster Family,United States
Overboard,United States
Peter Rabbit,United States
Sherlock Gnomes,United States
Show Dogs,United States
Super Troopers 2,United States
Tully,United States
The Lego Movie 2: The Second Part,United States
The Upside,United States
